
## 算数・数学（単元） (116)
小1 / かずとすうじ（10までの かず）	MATH_G1_U01
小5 / Math G5: Decimals and Volume	NATIVE_MATH_G5_DECIMALS
小5 / Math G5: Fraction Operations	NATIVE_MATH_G5_FRACTIONS
小5 / Math G5: Coordinate Plane	NATIVE_MATH_G5_COORDINATE
小5 / Math G5: Numerical Expressions	NATIVE_MATH_G5_EXPRESSIONS
小6 / Math G6: Ratios and Rates	NATIVE_MATH_G6_RATIOS
小6 / Math G6: Expressions and Equations	NATIVE_MATH_G6_EXPRESSIONS
小6 / Math G6: Integers and Rational Numbers	NATIVE_MATH_G6_INTEGERS
小6 / Math G6: Statistics and Data	NATIVE_MATH_G6_STATS
中1 / Math G7: Proportional Relationships	NATIVE_MATH_G7_PROPORTIONS
中1 / Math G7: Statistics and Probability	NATIVE_MATH_G7_STATS
中1 / Math G7: Integers and Rational Numbers	NATIVE_MATH_G7_INTEGERS
中1 / Math G7: Expressions and Equations	NATIVE_MATH_G7_EXPRESSIONS
中2 / Math G8: Linear Equations	NATIVE_MATH_G8_LINEAR
中2 / Math G8: Geometry and Functions	NATIVE_MATH_G8_GEOMETRY
中2 / Math G8: Pythagorean Theorem	NATIVE_MATH_G8_PYTHAGOREAN
中2 / Math G8: Transformations and Congruence	NATIVE_MATH_G8_TRANSFORMATIONS

## 英語圏 Science（単元） (24)
小1 / Science G1: Weather and Living Things	NATIVE_SCIENCE_G1
小1 / Science G1: Weather and Seasons	NATIVE_SCIENCE_G1_WEATHER
小1 / Science G1: Light, Sound, and Materials	NATIVE_SCIENCE_G1_MATERIALS
小2 / Science G2: Plants, Animals, and Matter	NATIVE_SCIENCE_G2
小2 / Science G2: Solids, Liquids, and Changes	NATIVE_SCIENCE_G2_MATTER
小2 / Science G2: Land, Water, and Weather	NATIVE_SCIENCE_G2_EARTH
小3 / Science G3: Habitats and Forces	NATIVE_SCIENCE_G3
小3 / Science G3: Life Cycles and Earth Systems	NATIVE_SCIENCE_G3_SYSTEMS
小3 / Science G3: Weather and Climate	NATIVE_SCIENCE_G3_WEATHER_CLIMATE
小4 / Science G4: Energy and Waves	NATIVE_SCIENCE_G4_ENERGY
小4 / Science G4: Earth Changes	NATIVE_SCIENCE_G4_EARTH
小4 / Science G4: Organisms and Environments	NATIVE_SCIENCE_G4_ORGANISMS
小5 / Science G5: Matter and Mixtures	NATIVE_SCIENCE_G5_MATTER
小5 / Science G5: Ecosystems and Space	NATIVE_SCIENCE_G5_ECOSYSTEMS
小5 / Science G5: Engineering Design	NATIVE_SCIENCE_G5_ENGINEERING
小6 / Science G6: Cells and Body Systems	NATIVE_SCIENCE_G6_CELLS
小6 / Science G6: Earth Science	NATIVE_SCIENCE_G6_EARTH
小6 / Science G6: Weather and Climate	NATIVE_SCIENCE_G6_WEATHER_CLIMATE
中1 / Science G7: Genetics and Ecology	NATIVE_SCIENCE_G7_LIFE
中1 / Science G7: Physical Science	NATIVE_SCIENCE_G7_PHYSICAL
中1 / Science G7: Energy Transfer	NATIVE_SCIENCE_G7_ENERGY_TRANSFER
中2 / Science G8: Chemistry Foundations	NATIVE_SCIENCE_G8_CHEMISTRY
中2 / Science G8: Space and Earth History	NATIVE_SCIENCE_G8_SPACE
中2 / Science G8: Forces and Motion	NATIVE_SCIENCE_G8_FORCES_MOTION

## 英語圏 Social Studies（単元） (32)
小1 / Social Studies G1: Community	NATIVE_SOCIAL_G1
小1 / Social Studies G1: Needs, Wants, and Jobs	NATIVE_SOCIAL_G1_NEEDS_WANTS
小1 / Social Studies G1: Rules and Citizenship	NATIVE_SOCIAL_G1_CITIZENSHIP
小1 / Social Studies G1: Digital Kindness and Safety	NATIVE_SOCIAL_G1_DIGITAL_KINDNESS
小2 / Social Studies G2: Maps and Citizenship	NATIVE_SOCIAL_G2
小2 / Social Studies G2: Map Skills	NATIVE_SOCIAL_G2_MAP_SKILLS
小2 / Social Studies G2: Culture and History Sources	NATIVE_SOCIAL_G2_HISTORY
小2 / Social Studies G2: Healthy Routines and Choices	NATIVE_SOCIAL_G2_HEALTHY_ROUTINES
小3 / Social Studies G3: Regions and History	NATIVE_SOCIAL_G3
小3 / Social Studies G3: Government and Economy	NATIVE_SOCIAL_G3_GOVERNMENT
小3 / Social Studies G3: Map Skills and Regions	NATIVE_SOCIAL_G3_MAP_SKILLS
小3 / Social Studies G3: Digital Citizenship	NATIVE_SOCIAL_G3_DIGITAL_CITIZENSHIP
小4 / Social Studies G4: Geography and Regions	NATIVE_SOCIAL_G4_GEOGRAPHY
小4 / Social Studies G4: State and Local History	NATIVE_SOCIAL_G4_HISTORY
小4 / Social Studies G4: Economics and Resources	NATIVE_SOCIAL_G4_ECONOMICS
小4 / Social Studies G4: Study Skills and Goals	NATIVE_SOCIAL_G4_STUDY_SKILLS
小5 / Social Studies G5: U.S. History Foundations	NATIVE_SOCIAL_G5_US_HISTORY
小5 / Social Studies G5: Civics and Economics	NATIVE_SOCIAL_G5_CIVICS
小5 / Social Studies G5: Geography of the Americas	NATIVE_SOCIAL_G5_GEOGRAPHY
小5 / Social Studies G5: Financial Literacy Basics	NATIVE_SOCIAL_G5_FINANCIAL_LITERACY
小6 / Social Studies G6: World Geography	NATIVE_SOCIAL_G6_WORLD_GEO
小6 / Social Studies G6: Ancient Civilizations	NATIVE_SOCIAL_G6_ANCIENT
小6 / Social Studies G6: World Cultures	NATIVE_SOCIAL_G6_WORLD_CULTURES
小6 / Social Studies G6: Online Safety and Privacy	NATIVE_SOCIAL_G6_ONLINE_PRIVACY
中1 / Social Studies G7: Medieval and Early Modern World	NATIVE_SOCIAL_G7_MEDIEVAL
中1 / Social Studies G7: Civics and Global Issues	NATIVE_SOCIAL_G7_CIVICS
中1 / Social Studies G7: Economics and Trade	NATIVE_SOCIAL_G7_ECONOMICS
中1 / Social Studies G7: Media Balance and Well-Being	NATIVE_SOCIAL_G7_MEDIA_BALANCE
中2 / Social Studies G8: U.S. History and Constitution	NATIVE_SOCIAL_G8_US_HISTORY
中2 / Social Studies G8: Government, Rights, and Media	NATIVE_SOCIAL_G8_CIVICS
中2 / Social Studies G8: Media Literacy and Public Issues	NATIVE_SOCIAL_G8_MEDIA_LITERACY
中2 / Social Studies G8: Career Awareness and Problem Solving	NATIVE_SOCIAL_G8_CAREER_AWARENESS

## 英語圏 Japanese（単元） (24)
小1 / Japanese G1: Hiragana and First Words	NATIVE_JAPANESE_G1
小1 / Japanese G1: Greetings and Classroom Phrases	NATIVE_JAPANESE_G1_GREETINGS
小1 / Japanese G1: Numbers and Colors	NATIVE_JAPANESE_G1_NUMBERS
小2 / Japanese G2: Katakana and Loanwords	NATIVE_JAPANESE_G2
小2 / Japanese G2: Simple Sentences	NATIVE_JAPANESE_G2_SENTENCES
小2 / Japanese G2: Family and Daily Words	NATIVE_JAPANESE_G2_FAMILY
小3 / Japanese G3: Particles and Questions	NATIVE_JAPANESE_G3
小3 / Japanese G3: First Kanji and Radicals	NATIVE_JAPANESE_G3_KANJI
小3 / Japanese G3: Time and Schedules	NATIVE_JAPANESE_G3_TIME
小4 / Japanese G4: Verbs and Polite Forms	NATIVE_JAPANESE_G4_VERBS
小4 / Japanese G4: Short Reading Passages	NATIVE_JAPANESE_G4_READING
小4 / Japanese G4: Shopping and Menus	NATIVE_JAPANESE_G4_SHOPPING
小5 / Japanese G5: Adjectives and Descriptions	NATIVE_JAPANESE_G5_ADJECTIVES
小5 / Japanese G5: Daily Life Communication	NATIVE_JAPANESE_G5_DAILY_LIFE
小5 / Japanese G5: School Life	NATIVE_JAPANESE_G5_SCHOOL_LIFE
小6 / Japanese G6: Connectors and Longer Sentences	NATIVE_JAPANESE_G6_CONNECTORS
小6 / Japanese G6: Culture and Practical Reading	NATIVE_JAPANESE_G6_CULTURE
小6 / Japanese G6: Travel and Directions	NATIVE_JAPANESE_G6_TRAVEL
中1 / Japanese G7: Conversation and Opinions	NATIVE_JAPANESE_G7_CONVERSATION
中1 / Japanese G7: Reading with Kanji	NATIVE_JAPANESE_G7_READING
中1 / Japanese G7: Media and Messages	NATIVE_JAPANESE_G7_MEDIA
中2 / Japanese G8: Grammar Review and Nuance	NATIVE_JAPANESE_G8_GRAMMAR
中2 / Japanese G8: Media, Signs, and Everyday Texts	NATIVE_JAPANESE_G8_MEDIA
中2 / Japanese G8: Culture Project and Presentation	NATIVE_JAPANESE_G8_CULTURE_PROJECT
